,Unnamed: 0,speciesGroup,taxonomicRankKingdom,taxonomicRankPhylum,taxonomicRankClass,taxonomicRankOrder,taxonomicRankFamily,taxonomicRankGenus,taxonomicRankSpecies,endemicToEurope,populationTrend,useAndTrade,europeanRegionalRedListCategory
367,1405,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,HALICTIDAE,Rhophitoides,canus,No,Stable,not utilized,LC
633,2792,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Oropodisma,willemsei,Yes,Decreasing,not utilized,CR
1786,5787,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HELICODONTIDAE,Helicodonta,obvoluta,Yes,Stable,not utilized,LC
785,3176,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,PHANEROPTERIDAE,Poecilimon,intermedius,No,Decreasing,not utilized,LC
631,2789,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Oropodisma,parnassica,Yes,Decreasing,not utilized,EN
18,223,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,miegiella,No,Stable,not utilized,LC
1036,4024,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,BLENNIIDAE,Parablennius,zvonimiri,Yes,Stable,not utilized,LC
1046,4055,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CARANGIDAE,Trachinotus,ovatus,No,Stable,utilized,LC
586,2720,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Italopodisma,lucianae,Yes,Decreasing,not utilized,CR
654,2823,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Pseudochorthippus,montanus,No,Decreasing,not utilized,LC
135,653,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Ceratina,mandibularis,No,Stable,not utilized,LC
557,2653,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Chorthippus,sampeyrensis,Yes,Stable,not utilized,NT
141,660,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Ceratina,saundersi,No,Stable,not utilized,LC
714,3001,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,MOGOPLISTIDAE,Pseudomogoplistes,byzantius,Yes,Decreasing,not utilized,EN
101,614,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,perezi,Yes,Stable,not utilized,LC
1202,4544,Marine_Fishes,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,LAMNIDAE,Lamna,nasus,No,Decreasing,utilized,CR
1971,6264,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,VERTIGINIDAE,Staurodon,seminulum,Yes,Stable,not utilized,LC
1238,4597,Marine_Fishes,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,TORPEDINIDAE,Torpedo,nobiliana,No,Stable,not utilized,LC
1776,5763,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HELICIDAE,Pseudotachea,litturata,No,Stable,utilized,NT
1997,6319,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,VITRINIDAE,Plutonia,lamarckii,Yes,Stable,not utilized,LC
1384,4853,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Rhagium,inquisitor,No,Stable,utilized,LC
585,2719,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Italopodisma,lagrecai,Yes,Decreasing,not utilized,CR
874,3414,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,TETTIGONIIDAE,Eupholidoptera,garganica,Yes,Decreasing,not utilized,NT
1568,5245,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,TENEBRIONIDAE,Hymenorus,doublieri,No,Decreasing,not utilized,VU
203,910,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Nomada,nigrovaria,No,Stable,not utilized,DD
1048,4069,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CLINIDAE,Clinitrachus,argentatus,No,Stable,not utilized,LC
637,2797,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Peripodisma,ceraunii,Yes,Decreasing,not utilized,CR
664,2842,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Sphingonotus,coerulipes,No,Decreasing,not utilized,LC
195,899,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Nomada,mauritanica,No,Stable,not utilized,LC
262,1041,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,COLLETIDAE,Colletes,halophilus,Yes,Decreasing,not utilized,NT
958,3636,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,TETTIGONIIDAE,Zeuneriana,amplipennis,Yes,Decreasing,not utilized,EN
533,2602,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Bryodemella,tuberculata,No,Decreasing,not utilized,VU
507,2500,Freshwater_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,HYDROBIIDAE,Sardohoratia,islamioides,Yes,Decreasing,not utilized,EN
1970,6263,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,VERTIGINIDAE,Columella,microspora,Yes,Stable,not utilized,LC
374,1462,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,HALICTIDAE,Systropha,curvicornis,No,Decreasing,not utilized,NT
730,3051,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,PAMPHAGIDAE,Orchamus,raulinii,Yes,Decreasing,not utilized,VU
1718,5618,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HELICIDAE,Cepaea,vindobonensis,Yes,Stable,not utilized,LC
1682,5512,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ENIDAE,Mastus,venerabilis,Yes,Stable,not utilized,LC
1342,4782,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Monochamus,saltuarius,No,Stable,utilized,LC
57,491,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Anthophora,aestivalis,No,Decreasing,not utilized,LC
1758,5719,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HELICIDAE,Hemicycla,invernicata,Yes,Stable,not utilized,LC
1928,6164,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,LAURIIDAE,Leiostyla,degenerata,Yes,Stable,not utilized,NT
1412,4901,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Stictoleptura,otini,No,Stable,not utilized,LC
1613,5363,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ARGNIDAE,Agardhiella,grossui,Yes,Stable,not utilized,NT
540,2615,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Chorthippus,alticola,Yes,Stable,not utilized,LC
1116,4206,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCIAENIDAE,Umbrina,cirrosa,No,Decreasing,utilized,VU
1002,3892,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,MYCTOPHIFORMES,MYCTOPHIDAE,Notolychnus,valdiviae,No,Stable,not utilized,LC
2001,6326,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,VITRINIDAE,Plutonia,nogalesi,Yes,Stable,not utilized,LC
763,3108,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,PHANEROPTERIDAE,Isophya,pavelii,No,Decreasing,not utilized,EN
1045,4053,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CARANGIDAE,Seriola,fasciata,No,Increasing,utilized,LC
612,2755,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Oedaleus,senegalensis,No,Decreasing,not utilized,EN
1068,4121,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Gobius,xanthocephalus,Yes,Stable,not utilized,LC
922,3522,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,TETTIGONIIDAE,Platycleis,iberica,Yes,Decreasing,not utilized,CR
1272,4671,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Anaglyptus,praecellens,Yes,Decreasing,not utilized,EN
66,573,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,armeniacus,No,Decreasing,not utilized,EN
1581,5286,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,TENEBRIONIDAE,Platydema,europaeum,No,Stable,not utilized,LC
1218,4569,Marine_Fishes,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Leucoraja,circularis,Yes,Decreasing,utilized,EN
1896,6088,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HYGROMIIDAE,Xerocrassa,molinae,Yes,Increasing,not utilized,NT
616,2767,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Omocestus,bolivari,Yes,Decreasing,not utilized,VU
426,2001,Freshwater_Molluscs,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Unio,crassus,No,Decreasing,not utilized,VU
115,630,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,sporadicus,No,Stable,not utilized,LC
1435,4935,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CETONIIDAE,Gnorimus,nobilis,No,Stable,utilized,LC
14,194,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,langadensis,No,Stable,not utilized,LC
925,3527,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,TETTIGONIIDAE,Platycleis,sabulosa,No,Decreasing,not utilized,LC
1802,5842,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HYGROMIIDAE,Candidula,intersecta,Yes,Stable,not utilized,LC
165,828,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Nomada,cretensis,Yes,Stable,not utilized,NT
382,1658,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,MEGACHILIDAE,Icteranthidium,laterale,No,Stable,not utilized,LC
996,3883,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,MYCTOPHIFORMES,MYCTOPHIDAE,Lampanyctus,crocodilus,No,Stable,not utilized,LC
1826,5885,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HYGROMIIDAE,Discula,pulvinata,Yes,Stable,utilized,EN
1911,6120,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HYGROMIIDAE,Xerosecta,cespitum,Yes,Stable,not utilized,LC
348,1366,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,HALICTIDAE,Lasioglossum,semilucens,No,Stable,not utilized,LC
1806,5851,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HYGROMIIDAE,Candidula,unifasciata,Yes,Stable,not utilized,LC
1042,4036,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CALLIONYMIDAE,Callionymus,reticulatus,Yes,Stable,utilized,LC
399,1923,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,MELITTIDAE,Macropis,fulvipes,No,Decreasing,not utilized,LC
93,605,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,mocsaryi,No,Decreasing,not utilized,EN
656,2826,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Pseudopodisma,fieberi,Yes,Decreasing,not utilized,LC
1087,4159,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ISTIOPHORIDAE,Tetrapturus,belone,Yes,Stable,utilized,LC
50,449,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Panurgus,dentipes,Yes,Stable,not utilized,LC
1596,5320,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,ARCHITAENIOGLOSSA,ACICULIDAE,Acicula,fusca,Yes,Decreasing,not utilized,LC
1713,5610,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HELICIDAE,Cantareus,apertus,Yes,Stable,utilized,LC
168,837,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Nomada,distinguenda,No,Stable,not utilized,LC
1294,4701,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Callimus,angulatus,No,Stable,utilized,LC
215,930,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Nomada,propinqua,No,Stable,not utilized,LC
915,3508,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,TETTIGONIIDAE,Pholidoptera,frivaldszkyi,Yes,Decreasing,not utilized,LC
893,3465,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,TETTIGONIIDAE,Montana,macedonica,Yes,Decreasing,not utilized,VU
661,2838,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Sphingonotus,almeriense,Yes,Decreasing,not utilized,EN
54,467,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Ammobates,dusmeti,Yes,Decreasing,not utilized,CR
241,973,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Parammobatodes,minutus,No,Stable,not utilized,EN
1782,5776,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HELICIDAE,Theba,geminata,Yes,Stable,not utilized,DD
397,1921,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,MELITTIDAE,Macropis,europaea,Yes,Decreasing,not utilized,LC
280,1165,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,HALICTIDAE,Dufourea,halictula,No,Decreasing,not utilized,NT
1913,6123,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HYGROMIIDAE,Xerosecta,giustii,Yes,Stable,not utilized,CR
759,3104,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,PHANEROPTERIDAE,Isophya,modesta,Yes,Decreasing,not utilized,LC
435,2034,Freshwater_Molluscs,ANIMALIA,MOLLUSCA,BIVALVIA,VENEROIDA,SPHAERIIDAE,Sphaerium,nucleus,No,Stable,not utilized,LC
24,290,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,pilipes,No,Stable,not utilized,LC
159,811,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Nomada,bluethgeni,Yes,Stable,not utilized,LC
1201,4540,Marine_Fishes,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,CETORHINIDAE,Cetorhinus,maximus,No,Stable,utilized,EN
767,3121,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,PHANEROPTERIDAE,Isophya,thracica,Yes,Stable,not utilized,LC
1015,3960,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,OSMERIFORMES,ALEPOCEPHALIDAE,Narcetes,stomias,No,Stable,not utilized,LC
393,1911,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,MELITTIDAE,Dasypoda,frieseana,Yes,Decreasing,not utilized,EN
1662,5450,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,COCHLICELLIDAE,Obelus,despreauxii,Yes,Decreasing,not utilized,VU
1800,5834,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HYGROMIIDAE,Candidula,arganica,Yes,Stable,not utilized,LC
595,2732,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Miramella,formosanta,Yes,Stable,not utilized,LC
548,2635,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Chorthippus,jucundus,No,Decreasing,not utilized,LC
649,2815,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Podisma,ruffoi,Yes,Decreasing,not utilized,EN
1222,4575,Marine_Fishes,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Neoraja,caerulea,Yes,Stable,not utilized,LC
1419,4909,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Strangalia,attenuata,No,Stable,utilized,LC
1686,5526,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ENIDAE,Napaeus,avaloensis,Yes,Stable,not utilized,NT
223,942,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Nomada,rufipes,No,Decreasing,not utilized,LC
1292,4698,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Callidium,violaceum,No,Stable,utilized,LC
625,2781,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Omocestus,uvarovi,Yes,Decreasing,not utilized,EN
679,2876,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Stenobothrus,eurasius,No,Decreasing,not utilized,LC
1083,4147,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Thorogobius,ephippiatus,Yes,Stable,not utilized,LC
286,1183,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,HALICTIDAE,Halictus,cochlearitarsis,No,Stable,not utilized,LC
1021,4005,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,BLENNIIDAE,Aidablennius,sphynx,No,Stable,not utilized,LC
1737,5677,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HELICIDAE,Eobania,vermiculata,No,Stable,utilized,LC
248,1013,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Xylocopa,olivieri,No,Stable,not utilized,LC
1094,4173,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Lappanella,fasciata,Yes,Stable,not utilized,LC
1630,5390,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CHONDRINIDAE,Chondrina,altimirai,Yes,Stable,not utilized,NT
843,3352,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,TETTIGONIIDAE,Conocephalus,grebenchikovi,Yes,Decreasing,not utilized,DD
1874,6036,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HYGROMIIDAE,Spirorbula,obtecta,Yes,Stable,not utilized,LC
1195,4524,Marine_Fishes,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,TRIAKIDAE,Mustelus,punctulatus,No,Decreasing,utilized,VU
371,1440,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,HALICTIDAE,Sphecodes,majalis,No,Decreasing,not utilized,NT
1106,4188,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Xyrichtys,novacula,No,Stable,utilized,LC
1912,6122,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HYGROMIIDAE,Xerosecta,explanata,No,Decreasing,not utilized,EN
709,2968,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,GRYLLIDAE,Pteronemobius,lineolatus,Yes,Decreasing,not utilized,LC
1076,4135,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Pomatoschistus,marmoratus,Yes,Stable,not utilized,LC
505,2486,Freshwater_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,HYDROBIIDAE,Pyrgula,annulata,Yes,Stable,not utilized,LC
125,641,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Ceratina,bispinosa,No,Decreasing,not utilized,LC
1627,5387,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CHONDRINIDAE,Abida,secale,Yes,Stable,not utilized,LC
469,2138,Freshwater_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,BITHYNIIDAE,Bithynia,tentaculata,No,Stable,not utilized,LC
31,356,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,stabiana,No,Stable,not utilized,LC
1522,5156,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,MYCETOPHAGIDAE,Mycetophagus,quadriguttatus,No,Stable,utilized,LC
1130,4233,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Diplodus,sargus,No,Stable,utilized,LC
112,627,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,semenoviellus,No,Increasing,not utilized,LC
1483,5069,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,ELATERIDAE,Reitterelater,bouyoni,Yes,Decreasing,utilized,NT
1931,6168,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,LAURIIDAE,Leiostyla,fusca,Yes,Stable,not utilized,LC
790,3193,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,PHANEROPTERIDAE,Poecilimon,pechevi,Yes,Decreasing,not utilized,CR
36,385,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,tringa,No,Stable,not utilized,LC
1052,4074,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ECHENEIDAE,Remora,remora,No,Stable,utilized,LC
1854,5976,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HYGROMIIDAE,Monacha,fruticola,Yes,Increasing,not utilized,LC
771,3127,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,PHANEROPTERIDAE,Leptophyes,calabra,Yes,Decreasing,not utilized,CR
1880,6051,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HYGROMIIDAE,Trochulus,hispidus,Yes,Stable,not utilized,LC
59,503,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Anthophora,bimaculata,No,Stable,not utilized,LC
1838,5912,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HYGROMIIDAE,Helicella,valdeona,Yes,Stable,not utilized,VU
1058,4098,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Crystallogobius,linearis,Yes,Stable,utilized,LC
1376,4822,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Poecilium,alni,No,Stable,utilized,LC
622,2776,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Omocestus,petraeus,No,Decreasing,not utilized,LC
943,3591,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,TETTIGONIIDAE,Saga,pedo,No,Decreasing,not utilized,LC
1436,4937,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CETONIIDAE,Osmoderma,barnabita,Yes,Decreasing,utilized,NT
1507,5136,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,LUCANIDAE,Dorcus,parallelipipedus,No,Stable,utilized,LC
137,655,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Ceratina,moricei,No,Stable,not utilized,LC
776,3146,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,PHANEROPTERIDAE,Phaneroptera,nana,No,Increasing,not utilized,LC
620,2773,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Omocestus,minutus,No,Stable,not utilized,LC
423,1996,Freshwater_Molluscs,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Microcondylaea,bonellii,Yes,Decreasing,not utilized,VU
1348,4790,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Nivellia,sanguinosa,No,Decreasing,utilized,EN
658,2830,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Psophus,stridulus,No,Decreasing,not utilized,LC
